STT ,CHỨC NĂNG / HỆ THỐNG,Loại câu hỏi,Câu Hỏi,,Trả lời,,
,,,Có giới hạn số dòng chi tiết tối đa trên một hóa đơn không?  Nếu có cụ thể là bao nhiêu dòng ?Trường hợp vượt giới hạn thì đang xử lý như thế nào?,HUNGTH,Theo quy định không quy định số dòng tối đa trên 1 hóa đơn. Hiện nay chưa có trường hợp nào bị quá giới hạn vì nếu là khách mua số lượng lớn (VD: xuất vé khách đoàn) thì trên HĐ thể hiện Từ số...đến số và số lượng vé.  ,,
,,,"Nếu khách hàng mua bổ sung dịch vụ đứng độc lập (EMD) vào một ngày khác hoàn toàn so với ngày xuất vé ban đầu (ví dụ: sát ngày bay mới mua thêm quyền vào phòng chờ thương gia), hệ thống sẽ lấy mốc thời gian nào để ký phát hành hóa đơn cho dịch vụ này?",TUNGNT,Dịch vụ mua thêm này sẽ được xuất thêm 1 chứng  từ. Hệ thống sẽ căn cứ theo ngày xuất chứng từ mua thêm và số tiền thu trên chứng từ dể xuất HĐ,,
,,,"Khi hành khách đổi chuyến bay dẫn đến việc phải đóng thêm tiền chênh lệch giá vé và phí đổi vé, hệ thống hóa đơn mới sẽ xuất một hóa đơn cho riêng phần giá trị phát sinh thêm này, hay VNA yêu cầu phải thay thế hóa đơn cũ để xuất lại một hóa đơn tổng mới?",TUNGNT,Hệ thống sẽ xuất hóa đơn cho giá trị của phần thu thêm. Hóa đơn sẽ được coi là HĐ xuất mới. ,,
,,,"Trong trường hợp khách hàng hoàn vé toàn phần hoặc một phần, VNA đang áp dụng cách xử lý nào trên hệ thống: xuất hóa đơn âm, hay lập hóa đơn điều chỉnh giảm doanh thu theo đúng quy chuẩn dữ liệu XML của cơ quan thuế hiện hành?",TUNGNT,VNA xuất hóa đơn âm cho vé hoàn. Theo quy định tại Nghị định 123/2020 thì các hóa đơn cho vé đổi và vé hoàn chính là hóa đơn điều chỉnh nhưng trên hóa đơn không cần ghi điều chỉnh HĐ số..... ,,
,,,"Trường hợp khách hàng doanh nghiệp phát sinh nhiều vé trong cùng kỳ, VNA có nhu cầu xuất:
Từng hóa đơn theo từng vé  hay gộp nhiều vé thành một hóa đơn tổng hợp?",HUNGTH," Hóa đơn xuất tại các phòng vé của VNA phải xuất trong ngày, không xuất HĐ theo kỳ.  Do vậy DN có thể y/c xuất HĐ cho tất cả các vé xuất trong cùng 1 ngày tại PV.
",,
,,,"Có tồn tại trường hợp khách hàng doanh nghiệp được quy định xuất hóa đơn riêng (ví dụ: xuất cuối tháng, xuất theo hợp đồng, xuất theo mã khách hàng) hay không? Nếu Có thì để phát hành hóa đơn đang là nhập liệu trực tiếp lên hệ thống hóa đơn ? 
- Hay đang tích hợp bằng API đẩy trực tiếp sang hệ thống hóa đơn ?
- Hay đang sử dụng tool hỗ trợ xuất hóa đơn theo định kỳ ?",HUNGTH,Không được phép,,
,,,"Hệ thống hiện có cơ chế đánh dấu các trạng thái ví dụ như: 
- Chưa xuất hóa đơn
- Đang xử lý
- Đã xuất thành công
- Xuất lỗi
để phục vụ đối soát hay không?",HUNGTH,"HIện nay đang có chức năng chạy báo cáo để kiểm soát: 
- Chưa xuất HĐ
- Xuất lỗi (chưa có search code) 
Có nhận điện được:
- Đã xuất thành công
- Xuất lỗi (đưa ra lỗi cảnh báo cho user khi xuất HĐ)",,
,,,"Để đảm bảo việc bóc tách dữ liệu JSON/XML của Vé, EMD, MCO được chính xác ngay từ giai đoạn đầu, VNA có thể cung cấp sớm các collection mẫu qua Postman chứa payload thực tế của các loại chứng từ này không?",TUNGNT,Không hiểu y/c. Ngày mai sẽ trao đổi trực tiếp,,
7,Cargo Receipt (hàng hóa),,"Hệ thống Cargo đang quản lý những nghiệp vụ nào liên quan tới hóa đơn?
Các loại giao dịch chính:
   - Vận chuyển hàng hóa?
   - Phí dịch vụ?
   - Phụ thu?",DUCLV,"Hệ thống Cargo Receipt đang sử dụng xuất hóa đơn cho dịch vụ vận chuyển Hàng hóa, Bưu kiện: trong đó chi tiết thu Cước, thuế, phụ phí vận chuyển hàng hóa/Bưu kiện",,
8,,,Số lượng giao dịch/ngày?,DUCLV,khoảng 50 đ/ngày,,
9,,,"Khi nào phát sinh hóa đơn?
 -  Khi tạo vận đơn?
 -  Khi thanh toán?
 -  Khi hoàn tất vận chuyển?
1 vận đơn → 1 hay nhiều hóa đơn?
Có trường hợp:
 -  Xuất gộp nhiều vận đơn?
 -  Tách 1 vận đơn thành nhiều hóa đơn?",DUCLV,"1. Khách lẻ:          
 - Sau khi AWB đã được Verify.     
 - 1 AWB xuất 1 hóa đơn.
- Khách lẻ phải thanh toán ngay tại thời điểm xuất AWB.   
2. Khách hợp đồng & Bưu kiện:
- Sau khi chốt kỳ báo cáo.
- Nhiều AWB xuất 1 hóa đơn.
3. Chiết khấu: 
- Sau khi hết tháng, khoảng từ ngày 10 đến cuối tháng sau sẽ lập hóa đơn CK cho số liệu bán tháng trước.
- 1 hóa đơn cho nhiều AWB.
4. Lao vụ:
- Khi khách nhận hàng.
- 1 hóa đơn cho 1 Phiếu xuất kho.
Không được tách 1 vận đơn cho nhiều hóa đơn",,
,,,"Hiện tại có bị sai lệch / thiếu / trùng hóa đơn không?
Mapping dữ liệu
Cargo cung cấp các thông tin gì?
 -  Thông tin khách hàng
 -  Mã số thuế
 -  Số tiền / thuế suất
Dữ liệu có đầy đủ để xuất hóa đơn không?
Có thiếu trường nào cần bổ sung?",DUCLV,"Hiện tại không bị sai lệch / thiếu / trùng hóa đơn.
Mapping dữ liệu
Cargo Receipt đã có: 
1. Khách hợp đồng và chiết khâu:
-  Thông tin khách hàng
 -  Mã số thuế
 -  Số tiền / thuế suất….
Dữ liệu có đầy đủ để xuất hóa đơn.
2. Khách lẻ và phí lao vụ:
-  Số tiền / thuế suất….
User sẽ phải nhập tự nhập Thông tin khách hàng
3. Bưu kiện:
-  Thông tin khách hàng
 -  Mã số thuế
 -  Số tiền / thuế suất….
User sẽ phải nhập tự nhập tỷ giá quy đổi USD
",,
,,,Nếu Cargo thay đổi dữ liệu sau khi hóa đơn đã phát hành thì nghiệp vụ mong muốn là: Điều chỉnh hay Thay thế ?,HUNGTH,,,
,,,"Sau khi đủ điều kiện xuất hóa đơn, hệ thống HĐĐT: Tự động lấy dữ liệu hay Người dùng bấm xuất hay Batch cuối ngày",HUNGTH,,,
,,,Nếu pm hóa đơn xuất nhiều lần cho 1 giao dịch thì làm sao xác định giao dịch đã xuất hóa đơn? Dựa vào thông tin nào ,HUNGTH,,,
,,,"- Nguồn tỷ giá USD/VND để xuất hóa đơn có được lấy tự động qua API từ một ngân hàng chỉ định (ví dụ: Vietcombank) không, hay do kế toán VNA tự cập nhật thủ công vào đầu ngày?",TUNGNT,,,
,,,"Trong trường hợp cước vận tải niêm yết bằng ngoại tệ khác (EUR, JPY) nhưng phải xuất hóa đơn VND, hệ thống cargo sẽ tự quy đổi chéo và đẩy số VND cuối cùng sang hệ thống hóa đơn, hay hệ thống hóa đơn phải tự đảm nhận logic quy đổi này?
",TUNGNT,,,
,,,"Đối với các đại lý giao nhận lớn, hệ thống có yêu cầu phải gom nhiều số vận đơn (của nhiều lô hàng khác nhau trong tháng) vào chung một hóa đơn GTGT không?",TUNGNT,,,
,,,"Đối với hàng hóa xuất khẩu, thời điểm xuất hóa đơn có bắt buộc phải khớp với ngày hoàn thành thủ tục hải quan không? (Yêu cầu này ảnh hưởng lớn đến việc validate ngày giờ trên hóa đơn).",TUNGNT,,,
10,GAS (thu khác),,"GAS đang quản lý những loại thu nào?
 -  Phí dịch vụ?
 -  Phí nội bộ?
 -  Phí phát sinh?
Có bao nhiêu loại phí?
Có danh mục chuẩn không?
Hệ thống GAS:
 -  Hệ thống Tự phát triển hay vendor cung cấp dịch vụ?
Số lượng giao dịch/ngày?",DUCLV,"1) Các loại thu trên GAS: quảng cáo, thuê tài sản, hoa hồng thuế sân bay/PVHK,HH bảo hiểm, thuê chuyến vận chuyển hành khách, hợp tác kinh doanh, hỗ trợ khai thác/kỹ thuật cho các hãng hàng không (khác VNA), thu phạt hợp đồng, thu bồi thường bảo hiểm, thanh lý tài sản, một số khoản thu khác. 
2) Phí dịch vụ: Phí điều phối,
3) Có bao nhiêu loại phí: thuế phí sân bay thu hộ các chuyến bay thuê chuyến, thuê khoang...
4) Có Danh mục chuẩn không? Một số loại thu cố định phát sinh thường xuyên như hoa hồng, thanh lý tài sản, phạt...thì có danh mục, còn lại là để free text để người lập hóa đơn nhập thông tin tên HHDV. Thuế suất thì do người lập HĐon chọn theo danh mục các loại thuế suất đã set sẵn trong hệ thống GAS
5) Hệ thống GAS: Vendor cung cấp
6) Khoảng 250 hóa đơn/tháng",Hồ Xuân Tam-TP.KTTH,Nguyễn Tuyết Liên
11,,,"Có phát sinh:
 -  Hoàn tiền?
 -  Hủy giao dịch?
 -  Điều chỉnh?
Khi thay đổi:
Xuất hóa đơn điều chỉnh hay thay thế?
Có backdate không?",DUCLV,"1) Có phát sinh:
- Hoàn tiền: Có, ít phát sinh
- Hủy giao dịch: Có
- Điều chỉnh: Có
2) Khi thay đổi:
- Xuất HĐ điều chỉnh hay thay thế: Cả 2 trường hợp
- Có backdate không: Không",,
12,,,"Có nhiều loại thuế suất không?
Có khoản:
   không chịu thuế?
    chịu thuế đặc biệt?
Có nghiệp vụ quốc tế không?",DUCLV,"- Có nhiều loại thuế suất: nội địa 8/10%, quốc tế 0%, KKKNT
- Không chịu thuế: Có
- Chịu thuế đặc biệt: Không
- Có nghiệp vụ quốc tế",,
13,,,Có yêu cầu realtime không?,DUCLV,"Có, tuân thủ theo quy định xuất hóa đơn của Nđinh 70",,
14,,,Có mapping rõ giữa loại phí và thuế suất / hóa đơn chưa?,DUCLV,"Hiện nay chưa mapping, áp thuế suất do người lập hóa đơn nhập.
Mong muốn: có mapping",,
15,,,Hiện tại có bị thiếu hoặc sai hóa đơn từ GAS không?,DUCLV,"Việc lập hóa đơn trên Gas đang thực hiện manual nên đôi khi có sai sót. Khi phát hiện sai sót sẽ xử lý xuất hóa đơn điều chỉnh hoặc thay thế
Mong muốn: đối soát được với hợp đồng, thu tiền",,
,,,"Trong trường hợp khách hàng cá nhân sử dụng nhiều dịch vụ phụ trợ khác nhau tại sân bay (vừa mua thêm hành lý, vừa mua quyền vào phòng chờ), hệ thống GAS hiện tại đang đẩy sang thành 2 giao dịch xuất 2 hóa đơn lẻ, hay gom chung vào 1 hóa đơn gộp?",TUNGNT,,,
,,,"GAS có cơ chế đánh dấu giao dịch đã xuất hóa đơn hay chưa?
Nếu có thì trường trạng thái nào đang được sử dụng?
Nếu không thì cơ chế chống xuất trùng hiện tại là gì?",HUNGTH,,,
,,,Có nghiệp vụ nào yêu cầu giữ giao dịch lại và chỉ xuất hóa đơn vào cuối ngày/cuối tháng không?,HUNGTH,,,
,,,"Nếu tại thời điểm phát sinh giao dịch chưa có MST khách hàng, sau đó khách hàng mới bổ sung MST thì hiện nay đang xử lý như thế nào?",HUNGTH,,,
,,,Có loại phí nào yêu cầu gom nhiều giao dịch của cùng khách hàng trong một khoảng thời gian thành một hóa đơn tổng hợp không?,HUNGTH,,,
,,,"Sau khi giao dịch được chuyển sang hệ thống hóa đơn, GAS có cho phép sửa số tiền hoặc thông tin khách hàng không?",HUNGTH,,,
,,,"Hiện nay cuối ngày hoặc cuối tháng có thực hiện đối soát giữa GAS và hệ thống hóa đơn không?
Nếu có thì đang đối soát theo tiêu chí nào?",HUNGTH,,,
,,,Tên phí trên GAS có yêu cầu hiển thị nguyên trạng lên hóa đơn hay cần chuyển đổi sang tên hàng hóa/dịch vụ khác?,HUNGTH,,,
16,Online (TMĐT),,"Khi nào xuất hóa đơn 
   + Khi thanh toán thành công?
   + Khi hoàn tất dịch vụ?
Có bắt buộc xuất hóa đơn cho tất cả đơn hàng không?
Có:
   - Xuất hóa đơn ngay?
   - Hay cuối ngày (batch)?",DUCLV,"- Xuất HĐ khi thanh toán thành công và có dữ liệu từ hệ thống xuất chứng từ (1A). Nhanh nhất là T+1 và chậm nhất T+5
- Bắt buộc phải xuất hóa đơn cho các giao dịch thanh toán bằng VND. 
- Xuất HĐ theo đăng ký của khách hàng. 
- Đến ngày T+5 sẽ xuất hóa đơn tự động cho tất cả các chứng từ khách hàng không đăng ký xuất HĐ (trừ các trường hợp chứng từ không được xuất HĐ). HĐ được xuất theo từng booking (PNR)",Ms. Hồng,"Nga, Hằng"
17,,,"Có phát sinh:
   - Hoàn tiền (refund)?
   - Hủy đơn?
   - Đổi dịch vụ?
Khi refund:
    Xử lý hóa đơn thế nào?
Có:
   1 đơn → nhiều thanh toán?
   1 thanh toán → nhiều dịch vụ?",DUCLV,"- Có phát sinh hoàn chứng từ. Không phát sinh hủy trên online. Nếu khách hủy thì sẽ hoàn vé. Đổi dịch vụ có phát sinh khi đó được xuất hóa đơn bán. Khách hàng phải đăng ký xuất hóa đơn cho vé đổi nếu có nhu cầu xuất HĐ.
- Khi hoàn vé sẽ xuất hóa đơn hoàn. VNA có 2 loại hóa đơn bán và HĐ hoàn. Hóa đơn hoàn tiền sẽ là sso âm. Đây chính là hóa đơn điều chỉnh giảm mà trên HĐ không cần phải ghi điều chỉnh HĐ số….
- Khi có vé hoàn hệ thống sẽ truy soát đến số vé hoàn xem trước đó vé có được xuất hóa đơn không? nếu có sẽ lấy tự động thông tin xuất HĐ (người mua) của vé bán để xuất HĐ cho vé hoàn. Nếu không tìm thấy thông tin xuất HĐ thì sẽ là trường hợp đổi vé không thu thêm tiền dẫn đến hệ thống không xuất HĐ, do vậy sẽ tìm đến thông tin của vé đổi trước đó để lấy thông tin xuất HĐ. 
- Xuất hóa đơn hoàn theo hóa đơn bán. Nếu vé hoàn cùng trên 1 hóa đơn bán sẽ xuất HĐ hoàn cho các vé đó cùng 1 HĐ. Nếu HĐ bán tách riêng, HĐ hoàn cũng vậy.
",,
18,,,"Các hình thức thanh toán:
 -  Online (VNPay, thẻ, ví…)
 -  COD?
Có trường hợp:
 -  Thanh toán thất bại nhưng vẫn giữ đơn?
 -  Payment có phải trigger hóa đơn không?",DUCLV,"_ Có rất nhiều hình thức thanh toán. Đối với online sẽ để hình thức thanh toán: Chuyển khoản/thẻ tín dụng.
- Khi xuất hóa đơn sẽ liên quan đến số chứng từ, không kiểm tra đến thanh toán. Nếu hệ thống đã sinh ra số chứng từ 738xxx thì sẽ xuất HĐ",,
19,,,"DỮ LIỆU ĐẦU VÀO HÓA ĐƠN
   TMĐT cung cấp:
   Tên khách hàng
    Email / MST
    Nội dung dịch vụ
    Giá trị đơn hàng
Có thu thập:
   Thông tin xuất hóa đơn riêng không?
    Có thiếu dữ liệu không?",DUCLV,"- Xây dựng dữ liệu đầu vào cho hóa đơn: tạo trang web để khách hàng vào đăng ký xuất HĐ ngay sau khi hệ thống xuất vé gửi số vé cho khách hàng.
- Nội dung đăng ký xuất HĐ:
+ Số vé, địa chỉ email. 
+ Thông tin khách hàng: MST, Tên công ty, địa chỉ. Khách chỉ cần nhập MST hệ thống sẽ tự đưa ra các thông tin còn lại",,
20,,,"Có nhiều loại thuế suất không?
     Có dịch vụ:
     chịu thuế khác nhau?
Có multi-currency không?",DUCLV,"Có 2 loại thuế suất: 0% cho dịch vụ quốc tế và 8/10% cho dich vụ nội địa. Ngoài ra còn có KKKNT cho khoản thuế phí sân bay thu hộ nhà chức trách
Chỉ xuất HĐ cho các giao dịch thanh toán tiền VND",,
21,,,"LIÊN QUAN KẾ TOÁN
 -  TMĐT có tạo bút toán không?
 -  Có sync sang kế toán không?
Có lệch giữa:
 -  TMĐT ↔ kế toán ↔ hóa đơn không?",DUCLV,"- Không tạo bút toán từ HĐ. Sẽ tạo bút toán trên hệ thống REV.
- Có thể có chênh lệch giữa kế toán và HĐ. ",,
22,,,"ĐỐI SOÁT
Có đối soát:
 -  TMĐT ↔ hóa đơn?
 -  TMĐT ↔ thanh toán?
Hiện tại làm bằng gì?
 -  Excel?
 -  Hệ thống tự động?",DUCLV,"- Hiện tại chưa có đối soát giữa HĐ và TMĐT
- Y/c sau này có đối soát tự động",,
,,,Khách hàng có thể yêu cầu xuất hóa đơn sau khi giao dịch đã hoàn tất bao lâu ? Trong ngàyTrong tháng ? Không giới hạn,HUNGTH,Hiện nay VNA quy định khách phải đăng ký xuất HĐ trong vòng 72h kể từ ngày giao dịch hoàn tất. Tuy nhien do VNA được phép xuất HĐ cho các vé bán trên website không muộn hơn ngày T+5 nên để hỗ trợ khách các đăng ký xuất HĐ trong vòng T+5 thì vẫn hỗ trợ xuất,,
,,,Nếu khách hàng nhập sai MST hoặc tên đơn vị sau khi hóa đơn đã phát hành thì quy trình hiện nay đang xử lý như thế nào? Điều chỉnh hay Thay thế,HUNGTH,Có thể điều chỉnh hoặc thay thế theo y/c của khách hàng. Tuy nhiên vẫn theo hướng ưu tiên thay thế,,
,,,"Trường hợp cùng một khách hàng phát sinh nhiều giao dịch trong ngày thì:xuất riêng từng hóa đơn hay gom thành một hóa đơn
Nếu gom: Theo ngày? Theo booking? Theo khách hàng?",HUNGTH,"- Phụ thuộc vào đăng ký xuất hóa đơn và đặt chỗ của khách. Khi khách đăng ký xuất HĐ khách nhập 1 vé và email của mình hệ thống sẽ hiển thị tất cả các vé  có chung booking. Khách tick để chọn số vé đăng ký xuất HĐ. Nếu muốn xuất chung 1 HĐ khách sẽ chọn các vé cần xuất HĐ sau đó đăng ký xuất HĐ. Nếu muốn xuất khác hóa đơn thì khách đăng ký cho từng vé. Vé nào đã được đăng ký xuất hóa đơn hệ thống sẽ đánh dấu lại và khách không đăng ký trùng được.
- Không gom theo ngày, theo khách hàng",,
,,,"Đối với cùng một booking có nhiều hành khách, hiện tại đang: Một hóa đơn cho booking hay Một hóa đơn cho từng hành khách",HUNGTH,Tùy thuộc vào đăng ký xuất háo đơn của khách như đã nêu ở trên,,
,,,Các dịch vụ phụ trợ (EMD) phát sinh sau khi xuất vé có bắt buộc phải xuất hóa đơn riêng hay được phép gộp với hóa đơn vé gốc?,HUNGTH,Nếu vé của khách chưa xuất HĐ và đang trong thời gian được xuất HĐ thì có thể đăng ký chung EMD và vé vì cùng chung 1 booking   ,,
,,,Nếu giao dịch đã thanh toán thành công nhưng hệ thống HĐĐT không nhận được dữ liệu thì hiện nay xử lý như thế nào? Người dùng xuất lại ? Batch đối soát cuối ngày ? Hệ thống tự động đẩy lại ,HUNGTH,"- Xuất HĐ theo số chứng từ nên nếu không có số chứng từ khách sẽ không đăng ký xuất HDDT được. Trường hợp giao dịch thành công nhưng không trả lại chứng từ cho khách thì khách sẽ liên hệ với bộ phận chăm sóc khách hàng của VNA để xuất lại chứng từ.
- Trường hợp khách có số chứng từ và đăng ký xuất HĐ nhưng hệ thống HDDT không tìm thấy số chứng từ hệ thống sẽ tự đẩy ra báo cáo lỗi không xuất HĐ do không có thông tin vào cuối ngày",,
,,,"Đối với khách hàng nước ngoài không có MST Việt Nam, hệ thống hiện đang lưu thông tin nào để đưa lên hóa đơn? Passport ? Tax ID nước ngoài?  ",HUNGTH,Khi đăng ký xuất HĐ sử dụng cùng trường thông tin MST để khách nhập số HC hoặc Tax ID. ,,
,,,"Đối với khách không chủ động nhập thông tin xuất hóa đơn, hệ thống có tự động gom toàn bộ doanh thu vé, EMD của khách vãng lai thành một (01) hóa đơn tổng xuất vào 23h59 mỗi ngày không?",tungnt,"Không. Hệ thống tự động xuất HĐ cho các vé khách không đăng ký xuất HĐ vào 1h sáng ngày T+6. Hóa đơn xuất tách theo booking, không xuất HĐ tổng ",,
,,,TPS (Transaction Per Second) tối đa vào các đợt Flash Sale mạnh nhất mà VNA từng ghi nhận (hoặc kỳ vọng hệ thống hóa đơn phải đáp ứng) là bao nhiêu bản ghi/giây?,tungnt,Không hiểu ý. Sẽ trao đổi trực tiếp vào ngày mai,,
23,Đại lý/ đại lý BSP,,"Quy trình:
   - Đại lý bán → BSP tổng hợp → hãng nhận tiền?
Hãng nhận doanh thu:
   - trực tiếp hay qua BSP?
Có phân biệt:
   - vé do hãng phát hành
   - vé do đại lý phát hành?",DUCLV,"Có 2 loại đại lý chỉ định và đại lý BSP
- Đại lý chỉ định: bán -> Dữ liệu chuyển qua HOT file -> đổ vào REV -> đồng bộ sang chương trình xuất HĐ -> xuất hóa đơn theo kỳ
- Đại lý BSP: ĐL bán -> BSP tổng hợp -> gửi HOT file -> đổ vào REV -> đồng bộ dữ liệu sang chương trình xuất HĐ -> xuất HĐ theo kỳ.
- Phân biệt theo nơi xuất vé. Vé do ĐL nào xuất sẽ xuất HĐ cho ĐL đó ",Ms. Hồng,"Nga, Hằng"
24,,,Tài khoản/ Mật khẩu được cung cấp truy cập vào phần mềm để trải nghiệm,DUCLV,Xem tại chỗ,,
,,,Các phòng ban tham dự vào việc sử dụng đại lý/ đại lý BSP,DUCLV,"Ban TCKT, Chi nhánh VN",,
,,,Có phát sinh nghiệp vụ điều chỉnh hóa đơn? thay tế hóa đơn thao tác  hay không? ,DUCLV,Có phát sinh nghiệp vụ điều chỉnh HĐ,,
,,,"Đại lý bán hàng qua hệ thống nào?
Có bao nhiêu loại đại lý?
   - Nội địa?
   - Quốc tế?
Số lượng giao dịch/ngày?",,"- Đại lý chỉ định xuất vé trên hệ thống Amadues (HOST) 
- ĐL BSP xuất trên các hệ thống xuất vé toàn cầu (GDS)
-  Khoảng 22-23k giao dịch ngày. Tuy nhiên việc xuất HĐ cho ĐL được thực hiện theo kỳ báo cáo. HĐ kèm theo Bảng tổng hợp. Số liệu tổng hợp được tổng hợp từ các kỳ BC bán. 1 tháng sẽ xuất HĐ 4 lần cho ĐL. Kỳ cuối sẽ được xuất HĐ chậm nhất vào ngày 10 của tháng sau",,
25,,,"BSP cung cấp:
   - thông tin khách hàng?
   -  MST?
Có đủ dữ liệu để xuất hóa đơn không?
Có cần lấy thêm từ hệ khác không?",DUCLV,"_ VNA xuất HĐ cho ĐL, ĐL xuất HĐ cho khách hàng. VNA không xuất HĐ trực tiếp cho khách hàng mua vé tại ĐL/ĐL BSP",,
26,,,"LIÊN QUAN KẾ TOÁN
   - Có tạo bút toán không?
   - Có sync sang kế toán không?
 ",DUCLV,- Vé xuất được đổ vào REV -> Hạch toán chi tiết. Số liệu xuất hóa đơn được đồng bộ từ REV sang ,,
27,,,"BSP có áp dụng:
  - nhiều loại thuế?
Có nghiệp vụ:
  - quốc tế?
Có multi-currency không?",DUCLV,"Có 2 loại thuế suất: 0% cho dịch vụ quốc tế và 8/10% cho dich vụ nội địa. 
",,
28,,,Doanh thu tính theo gross hay net (có trừ hoa hồng không)?,DUCLV,"Xuất hóa đơn trên số tiền thu trên chứng từ, không phân biệt theo doanh thu ",,
29,,,Hiện tại có lệch giữa dữ liệu BSP và hệ nội bộ không?,DUCLV,Có chênh lệch giữa hạch toán chi tiết các khoản mục và hóa đơn. Tổng tiền thanh toán không chênh lệch,,
,,,Hiện tại có cơ chế nào đảm bảo dữ liệu BSP khớp hoàn toàn với hệ nội bộ và hóa đơn chưa?,DUCLV,Có đối soát chênh lệch giữa hóa đơn và báo cáo bán,,
,,,Hệ thông VNA hiện tại có xây dựng luồng phê duyệt (kế toán trưởng duyệt) trên hệ thống trước khi ký phát hành hóa đơn đại lý không?,TUNGNT,Không,,
,,,Thời điểm nào BSP được xem là đủ điều kiện để phát hành hóa đơn cho đại lý? Khi BSP chốt giao dịch ? Khi BSP đối soát hoàn tất ? Khi đại lý thanh toán ?Theo kỳ quyết toán,HUNGTH,Khi đối soát hoàn tất. Xuất HĐ theo kỳ,,
,,,Hiện nay hóa đơn đại lý được phát hành theo: Từng giao dịch ? Theo ngày ? Theo tuần ? Theo kỳ BSP ,HUNGTH,Theo kỳ (tuần),,
30,,,Một bảng kê BSP có thể phát sinh: 1 hóa đơn  hay Nhiều hóa đơn ?,HUNGTH,1 hóa đơn,,
31,,,Khoản commission (hoa hồng) đại lý hiện nay được xử lý như thế nào trên hóa đơn? Trừ trực tiếp trên hóa đơn ? Xuất hóa đơn riêng ?,HUNGTH,Không phát sinh hoa hồng ĐL,,
